loop_id,status,preserved,candidate_commit,parent_commit,baseline_commit,artifact,correctness_recorded,level1_decision,level1_forward_backward_improvement_pct,level2_baseline_median_tps,level2_candidate_median_tps,level2_improvement_pct,trainer_evaluated,quality_evaluated,statistically_confirmed,next
attempt-00005-level1,invalid_harness,true,,,,runs/kda-cuda-development/attempts/attempt-00005-level1,false,,,,,,,,,
attempt-00005-level1-rerun-001,development_accepted,true,c5b36f8dc0018f28d242ad1a656625b7aa94cb7b,,613b0759d3b954cae984274b267a83a5c4ac46ff,runs/kda-cuda-development/attempts/attempt-00005-level1-rerun-001,false,advance,39.944036,,,,,false,,
attempt-00006-level1,development_rejected,true,1ec0bc4889c1982dc2d415df98859e2a8b5433d0,,c5b36f8dc0018f28d242ad1a656625b7aa94cb7b,runs/kda-cuda-development/attempts/attempt-00006-level1,false,do_not_advance,-3.841325,,,,,false,,
attempt-00007-level1,development_accepted,true,90e87cf86723d19dd26906f3ede567c7ba1c2268,,c5b36f8dc0018f28d242ad1a656625b7aa94cb7b,runs/kda-cuda-development/attempts/attempt-00007-level1,false,advance,7.007656,,,,,false,,
attempt-00008-level1,development_rejected,true,610cb318695badc7003db96c61bc62eec687a648,,c5b36f8dc0018f28d242ad1a656625b7aa94cb7b,runs/kda-cuda-development/attempts/attempt-00008-level1,false,do_not_advance,6.421308,,,,,false,,
attempt-00009-level1,development_rejected,true,897c84310e507d33c791cbb48bf56ff011f85b51,,90e87cf86723d19dd26906f3ede567c7ba1c2268,runs/kda-cuda-development/attempts/attempt-00009-level1,false,do_not_advance,2.896216,,,,,false,,
attempt-00010-level1,development_rejected,true,b393ea49179076545eb19fff02612cf2053d7e57,,90e87cf86723d19dd26906f3ede567c7ba1c2268,runs/kda-cuda-development/attempts/attempt-00010-level1,false,do_not_advance,1.620245,,,,,false,,
attempt-00011-level1,development_accepted,true,fe0411f3685378ce51bb084a2741998cd418250f,,90e87cf86723d19dd26906f3ede567c7ba1c2268,runs/kda-cuda-development/attempts/attempt-00011-level1,false,advance,4.604782,,,,,false,,
attempt-00012-level1,development_rejected,true,eb17ed6a7daf57f2bfbafc81bdf16e55740cda4a,,fe0411f3685378ce51bb084a2741998cd418250f,runs/kda-cuda-development/attempts/attempt-00012-level1,false,do_not_advance,2.914824,,,,,false,,
attempt-00013-level1,development_accepted,true,69a5ee68eaecdd8e9016db1c7b4523fd46a6613b,,fe0411f3685378ce51bb084a2741998cd418250f,runs/kda-cuda-development/attempts/attempt-00013-level1,false,advance,3.062775,,,,,false,,
attempt-00014-level1,development_accepted,true,2485f177abda8d79fc59a99cf2efef8033700b3b,,69a5ee68eaecdd8e9016db1c7b4523fd46a6613b,runs/kda-cuda-development/attempts/attempt-00014-level1,false,advance,15.197294,,,,,false,,
attempt-00015-level1,development_accepted,true,886712adddccd5eeaa3013770958af38d68f15fa,,2485f177abda8d79fc59a99cf2efef8033700b3b,runs/kda-cuda-development/attempts/attempt-00015-level1,false,advance,36.374278,,,,,false,,
attempt-00016-level1,confirmation_compatibility_fix,true,5ce9e1924821375238879d181c696f58cbb17786,,886712adddccd5eeaa3013770958af38d68f15fa,runs/kda-cuda-development/attempts/attempt-00016-level1,false,,,,,,,false,,
confirmation-00001-row-parallel-boundary,development_confirmation_passed,true,5ce9e1924821375238879d181c696f58cbb17786,,2485f177abda8d79fc59a99cf2efef8033700b3b,runs/kda-cuda-development/confirmations/confirmation-00001-row-parallel-boundary,false,,,,,,,false,,
